"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","입소정원","자격소유인원수","총인원수","인허가번호","상세영업상태명"
"1438","워커힐아파트경로당","서울특별시 광진구 광장동 145-8번지 ","","19950715","운영중","","","","","","","0","0","0","3040000199500006","운영"
"1437","현대6단지아파트경로당","서울특별시 광진구 구의동 610번지 ","","19950215","운영중","","","","","","","0","0","0","3040000199500005","운영"
"1436","신향빌라경로당","서울특별시 광진구 중곡동 18-24번지 ","","19950515","운영중","","","","","","","0","0","0","3040000199500004","운영"
"1435","용곡경로당","서울특별시 광진구 중곡동 176-90번지 ","","19950215","운영중","","","","","","","0","0","0","3040000199500003","운영"
"1434","노유1동제일경로당","서울특별시 광진구 자양동 236-179번지 ","","19940701","운영중","","","","","","","20","0","0","3040000199400016","운영"
"1433","군자경로당","서울특별시 광진구 군자동 115-1번지 ","","19940615","운영중","","","","","","","0","0","0","3040000199400013","운영"
"1432","노유2동제1경로당","서울특별시 광진구 자양동 205-6번지 ","","19940615","운영중","","","","","","","0","0","0","3040000199400012","운영"
"1431","노유1동제이경로당","서울특별시 광진구 자양동 244-1번지 ","","19940715","운영중","","","","","","","0","0","0","3040000199400011","운영"
"1430","삼성아파트경로당","서울특별시 광진구 광장동 453-1번지 ","","19940815","운영중","","","","","","","0","0","0","3040000199400010","운영"
"1429","강변우성아파트경로당","서울특별시 광진구 구의동 546-7번지 ","","19941015","운영중","","","","","","","0","0","0","3040000199400009","운영"
"1428","현대2단지아파트경로당","서울특별시 광진구 구의동 548-611번지 ","","19940715","운영중","","","","","","","0","0","0","3040000199400008","운영"
"1427","구의새마을경로당","서울특별시 광진구 구의동 590-2번지 ","","19940715","운영중","","","","","","","0","0","0","3040000199400007","운영"
"1426","구의2동경로당","서울특별시 광진구 구의동 60-8번지 ","","19940515","운영중","","","","","","","0","0","0","3040000199400006","운영"
"1425","자양8차현대홈타운경로당","서울특별시 광진구 자양동 789번지 ","","20020529","운영중","","","","","","","34","0","1","3040000200200006","운영"
"1424","광장동 금호아파트 경로당","서울특별시 광진구 광장동 578번지 ","","20020501","운영중","","","","","","","20","0","1","3040000200200005","운영"
"1423","자양7차현대홈타운 경로당","서울특별시 광진구 자양동 788번지 7 7동 ","","20020415","운영중","","","","","","","40","0","1","3040000200200004","운영"
"1422","광장극동1차아파트경로당","서울특별시 광진구 광장동 218-1번지 ","","20020228","운영중","","","","","","","27","0","1","3040000200200003","운영"
"1421","노유2동제2경로당","서울특별시 광진구 자양동 51-47번지 ","","20011219","운영중","","","","","","","0","0","60","3040000200100029","운영"
"1420","구의새한아파트경로당","서울특별시 광진구 구의동 656번지 ","","20010201","운영중","","","","","","","20","0","0","3040000200100024","운영"
"1419","광장동 현대파크빌 아파트 경로당","서울특별시 광진구 광장동 577번지 ","","20010501","운영중","","","","","","","77","0","0","3040000200100022","운영"
"1418","광장현대9단지아파트경로당","서울특별시 광진구 광장동 576번지 ","","20000301","운영중","","","","","","","0","0","0","3040000200000018","운영"
"1417","자양2차현대아파트경로당","서울특별시 광진구 자양동 761번지 ","","20000315","운영중","","","","","","","0","0","0","3040000200000001","운영"
"1416","상록경로당","서울특별시 광진구 광장동 570번지 ","","19990302","운영중","","","","","","","20","0","0","3040000199900035","운영"
"1415","상록경로당","서울특별시 광진구 광장동 570번지 ","","19990301","운영중","","","","","","","0","0","0","3040000199900034","운영"
"1414","삼성아파트경로당","서울특별시 광진구 자양동 787번지 ","","19991015","운영중","","","","","","","0","0","0","3040000199900011","운영"
"1413","대동아파트경로당","서울특별시 광진구 자양동 785-1번지 ","","19990515","운영중","","","","","","","0","0","0","3040000199900010","운영"
"1412","자양경남아파트경로당","서울특별시 광진구 자양동 641번지 ","","19990915","운영중","","","","","","","0","0","0","3040000199900009","운영"
"1411","상록경로당","서울특별시 광진구 광장동 570번지 ","","19990315","운영중","","","","","","","0","0","0","3040000199900008","운영"
"1410","소능경로당","서울특별시 광진구 구의동 617-33번지 ","","19990115","운영중","","","","","","","0","0","0","3040000199900007","운영"
"1409","우성7차아파트경로당","서울특별시 광진구 자양동 783-1번지 ","","19980815","운영중","","","","","","","0","0","0","3040000199800015","운영"
"1408","자양대아아파트경로당","서울특별시 광진구 자양동 666-28번지 ","","19980415","운영중","","","","","","","0","0","0","3040000199800014","운영"
"1407","현대강변아파트경로당","서울특별시 광진구 자양동 673번지 ","","19980315","운영중","","","","","","","0","0","0","3040000199800013","운영"
"1406","로얄아파트경로당","서울특별시 광진구 자양동 644번지 ","","19980315","운영중","","","","","","","0","0","0","3040000199800012","운영"
"1405","중앙경로당","서울특별시 광진구 자양동 615-28번지 ","","19980315","운영중","","","","","","","0","0","0","3040000199800011","운영"
"1404","현대7단지아파트경로당","서울특별시 광진구 구의동 587-54번지 ","","19980615","운영중","","","","","","","0","0","0","3040000199800010","운영"
"1403","현대프라임아파트경로당","서울특별시 광진구 구의동 631-1번지 ","","19980115","운영중","","","","","","","0","0","0","3040000199800009","운영"
"1402","산의마을경로당","서울특별시 광진구 구의동 210-75번지 ","","19980415","운영중","","","","","","","0","0","0","3040000199800008","운영"
"1401","한솔리베르아파트경로당","서울특별시 광진구 자양동 672번지 ","","20020124","운영중","","","","","","","30","0","2","3040000200600015","운영"
"1400","에스케이아파트경로당","서울특별시 광진구 중곡동 292번지 ","","20051227","운영중","","","","","","","30","0","24","3040000200500028","운영"
"1399","자마장 경로당","서울특별시 광진구 자양동 630-1번지 ","","20050428","운영중","","","","","","","60","0","49","3040000200500016","운영"
"1398","한신아파트경로당","서울특별시 도봉구 창동 621-69번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800024","운영"
"1397","태영데시앙아파트경로당","서울특별시 도봉구 창동 819번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800023","운영"
"1396","수산트리플아파트경로당","서울특별시 도봉구 창동 817번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800022","운영"
"1395","대우그린아파트","서울특별시 도봉구 창동 814번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800021","운영"
"1394","서울가든아파트","서울특별시 도봉구 창동 366번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800020","운영"
"1393","세심천경로당","서울특별시 도봉구 방학동 산 90-31번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800019","운영"
"1392","동양크레오아파트경로당","서울특별시 도봉구 방학동 740번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800018","운영"
"1391","효성하이타운아파트경로당","서울특별시 도봉구 방학동 739번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800017","운영"
"1390","방학3동경로당","서울특별시 도봉구 방학동 446-7번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800016","운영"
"1389","금광아파트경로당","서울특별시 도봉구 방학동 714-1번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800015","운영"
"1388","이수아파트경로당","서울특별시 도봉구 방학동 713번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800014","운영"
"1387","삼성래미안(2)아파트경로당","서울특별시 도봉구 방학동 715-12번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800013","운영"
"1386","삼성래미안(1)아파트경로당","서울특별시 도봉구 방학동 720-18번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800012","운영"
"1385","대상현대아파트(2)경로당","서울특별시 도봉구 방학동 720-1번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800011","운영"
