Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
321,부개,37.488418,126.74109,['01호선'],POINT (126.74109 37.488418),인천광역시,부평구,부개동
322,간석,37.464737,126.694181,['01호선'],POINT (126.694181 37.464737),인천광역시,남동구,간석동
323,도원,37.468446,126.642706,['01호선'],POINT (126.642706 37.468446),인천광역시,미추홀구,숭의동
324,중동,37.486562,126.764843,['01호선'],POINT (126.764843 37.486562),경기도,부천시,소사구
325,도화,37.46607,126.668672,['01호선'],POINT (126.668672 37.46607),인천광역시,미추홀구,도화동
326,서울숲,37.543617,127.044707,['수인분당선'],POINT (127.044707 37.543617),서울특별시,성동구,성수동1가
327,압구정로데오,37.527381,127.040534,['수인분당선'],POINT (127.040534 37.527381),서울특별시,강남구,신사동
328,소사,37.482753,126.79544,"['01호선', '서해선']",POINT (126.79544 37.482753),경기도,부천시,소사구
329,가천대,37.448605,127.126697,['수인분당선'],POINT (127.126697 37.448605),경기도,성남시,수정구
330,태평,37.440019,127.127709,['수인분당선'],POINT (127.127709 37.440019),경기도,성남시,수정구
331,서현,37.385126,127.123592,['수인분당선'],POINT (127.123592 37.385126),경기도,성남시,분당구
332,수내,37.378455,127.114322,['수인분당선'],POINT (127.114322 37.378455),경기도,성남시,분당구
333,미금,37.350077,127.10891,"['수인분당선', '신분당선']",POINT (127.10891 37.350077),경기도,성남시,분당구
334,오리,37.339824,127.108942,['수인분당선'],POINT (127.108942 37.339824),경기도,성남시,분당구
335,보정,37.312752,127.108196,['수인분당선'],POINT (127.108196 37.312752),경기도,용인시,기흥구
336,죽전,37.324753,127.107395,['수인분당선'],POINT (127.107395 37.324753),경기도,용인시,수지구
337,신갈,37.286102,127.111313,['수인분당선'],POINT (127.111313 37.286102),경기도,용인시,기흥구
338,상갈,37.26181,127.108847,['수인분당선'],POINT (127.108847 37.26181),경기도,용인시,기흥구
339,청명,37.259489,127.078934,['수인분당선'],POINT (127.078934 37.259489),경기도,수원시,영통구
340,영통,37.251568,127.071394,['수인분당선'],POINT (127.071394 37.251568),경기도,수원시,영통구
341,망포,37.245795,127.057353,['수인분당선'],POINT (127.057353 37.245795),경기도,수원시,영통구
342,매탄권선,37.252759,127.040566,['수인분당선'],POINT (127.040566 37.252759),경기도,수원시,영통구
343,수원시청,37.261911,127.030736,['수인분당선'],POINT (127.030736 37.261911),경기도,수원시,권선구
344,매교,37.265481,127.015678,['수인분당선'],POINT (127.015678 37.265481),경기도,수원시,팔달구
345,월곶,37.391769,126.742699,['수인분당선'],POINT (126.742699 37.391769),경기도,시흥시,월곶동
346,소래포구,37.40095,126.733522,['수인분당선'],POINT (126.733522 37.40095),인천광역시,남동구,논현동
347,인천논현,37.400614,126.722478,['수인분당선'],POINT (126.722478 37.400614),인천광역시,남동구,논현동
348,호구포,37.401637,126.708627,['수인분당선'],POINT (126.708627 37.401637),인천광역시,남동구,논현동
349,남동인더스파크,37.407722,126.695216,['수인분당선'],POINT (126.695216 37.407722),인천광역시,남동구,고잔동
350,연수,37.417804,126.67894,['수인분당선'],POINT (126.67894 37.417804),인천광역시,연수구,연수동
351,송도,37.428514,126.657772,['수인분당선'],POINT (126.657772 37.428514),인천광역시,연수구,옥련동
352,신포,37.46874,126.623853,['수인분당선'],POINT (126.623853 37.46874),인천광역시,중구,항동7가
353,방학,37.667503,127.044273,['01호선'],POINT (127.044273 37.667503),서울특별시,도봉구,방학동
354,도봉,37.679563,127.045595,['01호선'],POINT (127.045595 37.679563),서울특별시,도봉구,도봉동
355,망월사,37.709914,127.047455,['01호선'],POINT (127.047455 37.709914),경기도,의정부시,호원동
356,의정부,37.738415,127.045958,['01호선'],POINT (127.045958 37.738415),경기도,의정부시,의정부동
357,가능,37.748577,127.044213,['01호선'],POINT (127.044213 37.748577),경기도,의정부시,가능동
358,녹양,37.75938,127.042292,['01호선'],POINT (127.042292 37.75938),경기도,의정부시,녹양동
359,양주,37.774381,127.044708,['01호선'],POINT (127.044708 37.774381),,,
360,덕계,37.818486,127.056486,['01호선'],POINT (127.056486 37.818486),경기도,양주시,덕계동
361,덕정,37.843188,127.061277,['01호선'],POINT (127.061277 37.843188),경기도,양주시,덕정동
362,지행,37.892334,127.055716,['01호선'],POINT (127.055716 37.892334),경기도,동두천시,지행동
363,동두천중앙,37.901885,127.056482,['01호선'],POINT (127.056482 37.901885),경기도,동두천시,생연동
364,보산,37.913702,127.057277,['01호선'],POINT (127.057277 37.913702),경기도,동두천시,보산동
365,동두천,37.927878,127.05479,['01호선'],POINT (127.05479 37.927878),경기도,동두천시,동두천동
366,소요산,37.9481,127.061034,['01호선'],POINT (127.061034 37.9481),경기도,동두천시,상봉암동
367,원당,37.653324,126.843041,['03호선'],POINT (126.843041 37.653324),경기도,고양시,덕양구
368,백석,37.643114,126.78787,['03호선'],POINT (126.78787 37.643114),경기도,고양시,일산동구
369,마두,37.652206,126.77762,['03호선'],POINT (126.77762 37.652206),경기도,고양시,일산동구
370,정발산,37.659477,126.773359,['03호선'],POINT (126.773359 37.659477),경기도,고양시,일산동구
371,주엽,37.670072,126.761334,['03호선'],POINT (126.761334 37.670072),경기도,고양시,일산서구
372,대화,37.676087,126.747569,['03호선'],POINT (126.747569 37.676087),경기도,고양시,일산서구
373,방화,37.577446,126.812741,['05호선'],POINT (126.812741 37.577446),서울특별시,강서구,방화동
374,개화산,37.572399,126.806171,['05호선'],POINT (126.806171 37.572399),서울특별시,강서구,방화동
375,송정,37.561184,126.811973,['05호선'],POINT (126.811973 37.561184),서울특별시,강서구,공항동
376,마곡,37.560183,126.825448,['05호선'],POINT (126.825448 37.560183),서울특별시,강서구,마곡동
377,발산,37.558598,126.837668,['05호선'],POINT (126.837668 37.558598),서울특별시,강서구,내발산동
378,우장산,37.548768,126.836318,['05호선'],POINT (126.836318 37.548768),서울특별시,강서구,내발산동
379,화곡,37.541513,126.840461,['05호선'],POINT (126.840461 37.541513),서울특별시,강서구,화곡동
380,신정,37.524997,126.856191,['05호선'],POINT (126.856191 37.524997),서울특별시,양천구,신정동
381,목동,37.526065,126.864931,['05호선'],POINT (126.864931 37.526065),서울특별시,양천구,목동
382,오목교,37.524496,126.875181,['05호선'],POINT (126.875181 37.524496),서울특별시,양천구,목동
383,양평,37.525648,126.885778,"['05호선', '경의선']",POINT (126.885778 37.525648),서울특별시,영등포구,양평동2가
384,여의나루,37.527098,126.932901,['05호선'],POINT (126.932901 37.527098),서울특별시,영등포구,여의도동
385,마포,37.539574,126.945932,['05호선'],POINT (126.945932 37.539574),서울특별시,마포구,도화동
386,애오개,37.553736,126.95682,['05호선'],POINT (126.95682 37.553736),서울특별시,마포구,아현동
387,서대문,37.565773,126.966641,['05호선'],POINT (126.966641 37.565773),서울특별시,서대문구,충정로2가
388,광화문,37.571026,126.976669,['05호선'],POINT (126.976669 37.571026),서울특별시,종로구,세종로
389,신금호,37.554548,127.020331,['05호선'],POINT (127.020331 37.554548),서울특별시,성동구,금호동1가
390,행당,37.557322,127.029476,['05호선'],POINT (127.029476 37.557322),서울특별시,성동구,행당동
391,마장,37.5661,127.042973,['05호선'],POINT (127.042973 37.5661),서울특별시,성동구,마장동
392,답십리,37.566747,127.052704,['05호선'],POINT (127.052704 37.566747),서울특별시,성동구,용답동
393,장한평,37.56144,127.064623,['05호선'],POINT (127.064623 37.56144),서울특별시,성동구,용답동
394,아차산,37.551691,127.089761,['05호선'],POINT (127.089761 37.551691),서울특별시,광진구,구의동
395,광나루,37.545303,127.10357,['05호선'],POINT (127.10357 37.545303),서울특별시,광진구,광장동
