,역이름,y,x,호선,geometry
294,직산,36.870593,127.143904,['01호선'],POINT (127.143904 36.870593)
295,두정,36.833705,127.14896,['01호선'],POINT (127.14896 36.833705)
296,천안,36.810005,127.146826,['01호선'],POINT (127.146826 36.810005)
297,당정,37.344285,126.948345,['01호선'],POINT (126.948345 37.344285)
298,서동탄,37.195504,127.051672,['01호선'],POINT (127.051672 37.195504)
299,광명,37.416182,126.884466,['01호선'],POINT (126.884466 37.416182)
300,산본,37.358101,126.933274,['04호선'],POINT (126.933274 37.358101)
301,대야미,37.328467,126.917332,['04호선'],POINT (126.917332 37.328467)
302,반월,37.312212,126.903524,['04호선'],POINT (126.903524 37.312212)
303,상록수,37.302795,126.866489,['04호선'],POINT (126.866489 37.302795)
304,한대앞,37.309689,126.85344,"['04호선', '수인분당선']",POINT (126.85344 37.309689)
305,중앙,37.315941,126.838573,"['04호선', '수인분당선']",POINT (126.838573 37.315941)
306,고잔,37.316777,126.823249,"['04호선', '수인분당선']",POINT (126.823249 37.316777)
307,초지,37.320646,126.805913,"['04호선', '서해선', '수인분당선']",POINT (126.805913 37.320646)
308,안산,37.327082,126.788532,"['04호선', '수인분당선']",POINT (126.788532 37.327082)
309,신길온천,37.338212,126.765844,"['04호선', '수인분당선']",POINT (126.765844 37.338212)
310,정왕,37.351735,126.742989,"['04호선', '수인분당선']",POINT (126.742989 37.351735)
311,수리산,37.349801,126.925365,['04호선'],POINT (126.925365 37.349801)
312,개봉,37.494594,126.85868,['01호선'],POINT (126.85868 37.494594)
313,오류동,37.494526,126.845365,['01호선'],POINT (126.845365 37.494526)
314,역곡,37.485178,126.811502,['01호선'],POINT (126.811502 37.485178)
315,부천,37.48405,126.782686,['01호선'],POINT (126.782686 37.48405)
316,송내,37.4876,126.753664,['01호선'],POINT (126.753664 37.4876)
317,백운,37.483664,126.707704,['01호선'],POINT (126.707704 37.483664)
318,동암,37.471408,126.702896,['01호선'],POINT (126.702896 37.471408)
319,제물포,37.466769,126.656666,['01호선'],POINT (126.656666 37.466769)
320,동인천,37.475276,126.632802,['01호선'],POINT (126.632802 37.475276)
321,부개,37.488418,126.74109,['01호선'],POINT (126.74109 37.488418)
322,간석,37.464737,126.694181,['01호선'],POINT (126.694181 37.464737)
323,도원,37.468446,126.642706,['01호선'],POINT (126.642706 37.468446)
324,중동,37.486562,126.764843,['01호선'],POINT (126.764843 37.486562)
325,도화,37.46607,126.668672,['01호선'],POINT (126.668672 37.46607)
326,서울숲,37.543617,127.044707,['수인분당선'],POINT (127.044707 37.543617)
327,압구정로데오,37.527381,127.040534,['수인분당선'],POINT (127.040534 37.527381)
328,소사,37.482753,126.79544,"['01호선', '서해선']",POINT (126.79544 37.482753)
329,가천대,37.448605,127.126697,['수인분당선'],POINT (127.126697 37.448605)
330,태평,37.440019,127.127709,['수인분당선'],POINT (127.127709 37.440019)
331,서현,37.385126,127.123592,['수인분당선'],POINT (127.123592 37.385126)
332,수내,37.378455,127.114322,['수인분당선'],POINT (127.114322 37.378455)
333,미금,37.350077,127.10891,"['수인분당선', '신분당선']",POINT (127.10891 37.350077)
334,오리,37.339824,127.108942,['수인분당선'],POINT (127.108942 37.339824)
335,보정,37.312752,127.108196,['수인분당선'],POINT (127.108196 37.312752)
336,죽전,37.324753,127.107395,['수인분당선'],POINT (127.107395 37.324753)
337,신갈,37.286102,127.111313,['수인분당선'],POINT (127.111313 37.286102)
338,상갈,37.26181,127.108847,['수인분당선'],POINT (127.108847 37.26181)
339,청명,37.259489,127.078934,['수인분당선'],POINT (127.078934 37.259489)
340,영통,37.251568,127.071394,['수인분당선'],POINT (127.071394 37.251568)
341,망포,37.245795,127.057353,['수인분당선'],POINT (127.057353 37.245795)
342,매탄권선,37.252759,127.040566,['수인분당선'],POINT (127.040566 37.252759)
343,수원시청,37.261911,127.030736,['수인분당선'],POINT (127.030736 37.261911)
344,매교,37.265481,127.015678,['수인분당선'],POINT (127.015678 37.265481)
345,월곶,37.391769,126.742699,['수인분당선'],POINT (126.742699 37.391769)
346,소래포구,37.40095,126.733522,['수인분당선'],POINT (126.733522 37.40095)
347,인천논현,37.400614,126.722478,['수인분당선'],POINT (126.722478 37.400614)
348,호구포,37.401637,126.708627,['수인분당선'],POINT (126.708627 37.401637)
349,남동인더스파크,37.407722,126.695216,['수인분당선'],POINT (126.695216 37.407722)
350,연수,37.417804,126.67894,['수인분당선'],POINT (126.67894 37.417804)
351,송도,37.428514,126.657772,['수인분당선'],POINT (126.657772 37.428514)
352,신포,37.46874,126.623853,['수인분당선'],POINT (126.623853 37.46874)
353,방학,37.667503,127.044273,['01호선'],POINT (127.044273 37.667503)
354,도봉,37.679563,127.045595,['01호선'],POINT (127.045595 37.679563)
355,망월사,37.709914,127.047455,['01호선'],POINT (127.047455 37.709914)
356,의정부,37.738415,127.045958,['01호선'],POINT (127.045958 37.738415)
357,가능,37.748577,127.044213,['01호선'],POINT (127.044213 37.748577)
358,녹양,37.75938,127.042292,['01호선'],POINT (127.042292 37.75938)
359,양주,37.774381,127.044708,['01호선'],POINT (127.044708 37.774381)
